CustomerID,Name,Age,Gender,Email,PurchaseAmount,PurchaseDate,ProductCategory,Rating,month,year
CUST1000,Ali Hassan,72,M,ali.hassan@gmail.com,837.31,2023-10-12 00:00:00.000000,Books,3,10,2023
CUST1001,Fatma Ali,64,F,fatma.ali@hotmail.com,900.25,2023-02-23 00:00:00.000000,Unkwon,3,2,2023
CUST1002,Ahmed Mahmoud,64,M,ahmed.mahmoud@hotmail.com,761.72,2023-07-07 00:00:00.000000,Toys,2,7,2023
CUST1003,Ahmed Gaber,64,F,ahmed.gaber@gmail.com,303.72,2023-12-30 00:00:00.000000,Unkwon,2,12,2023
CUST1004,Ali Ibrahim,73,M,ali.ibrahim@yahoo.com,635.81,2023-12-07 00:00:00.000000,Clothing,2,12,2023
CUST1005,Alaa Ibrahim,64,F,alaa.ibrahim@hotmail.com,886.26,2025-01-16 00:00:00.000000,Unkwon,2,1,2025
CUST1006,Mark Ali,64,M,mark.ali@hotmail.com,92.53,2024-06-12 00:00:00.000000,Books,2,6,2024
CUST1007,Alaa Hassan,64,F,alaa.hassan@hotmail.com,318.43,2024-05-17 00:00:00.000000,Toys,10,5,2024
CUST1008,John Hassan,89,M,john.hassan@yahoo.com,883.52,2024-03-17 04:28:05.570131,Home,4,3,2024
CUST1009,Fatma Gaber,64,F,fatma.gaber@hotmail.com,966.47,2025-01-24 00:00:00.000000,Electronics,2,1,2025
CUST1010,Ahmed Smith,64,M,ahmed.smith@gmail.com,882.19,2025-06-24 00:00:00.000000,Unkwon,3,6,2025
CUST1011,Sara Smith,64,M,sara.smith@yahoo.com,405.79,2024-08-05 00:00:00.000000,Unkwon,10,8,2024
CUST1012,Lina Ibrahim,64,M,lina.ibrahim@hotmail.com,142.6,2023-05-23 00:00:00.000000,Home,2,5,2023
CUST1013,Lina Gaber,64,M,lina.gaber@gmail.com,509.4188823816496,2024-02-04 00:00:00.000000,Electronics,2,2,2024
CUST1014,Alaa Ali,64,M,alaa.ali@gmail.com,891.8,2023-05-21 00:00:00.000000,Clothing,2,5,2023
CUST1015,Ali Ibrahim,18,F,ali.ibrahim@hotmail.com,337.49,2024-06-25 00:00:00.000000,Home,1,6,2024
CUST1016,Fatma Hassan,64,F,fatma.hassan@gmail.com,272.08,2024-01-09 00:00:00.000000,Toys,2,1,2024
CUST1017,John Mahmoud,64,M,john.mahmoud@gmail.com,833.56,2025-02-19 00:00:00.000000,Unkwon,5,2,2025
CUST1018,Alaa Ali,15,F,alaa.ali@hotmail.com,923.5,2024-01-04 00:00:00.000000,Toys,1,1,2024
CUST1019,Ahmed Ibrahim,64,M,ahmed.ibrahim@yahoo.com,497.45,2024-03-17 04:28:05.570131,Unkwon,1,3,2024
CUST1020,Lina Gaber,64,M,lina.gaber@hotmail.com,667.69,2023-04-27 00:00:00.000000,Clothing,2,4,2023
CUST1021,Fatma Ibrahim,64,M,fatma.ibrahim@yahoo.com,118.22,2024-12-30 00:00:00.000000,Clothing,1,12,2024
CUST1022,Ahmed Mahmoud,64,M,ahmed.mahmoud@gmail.com,22.02,2025-02-22 00:00:00.000000,Electronics,1,2,2025
CUST1023,Lina Ibrahim,44,M,lina.ibrahim@yahoo.com,389.24,2024-03-17 04:28:05.570131,Clothing,10,3,2024
CUST1024,John Hassan,64,M,john.hassan@hotmail.com,125.65,2023-02-27 00:00:00.000000,Unkwon,10,2,2023
CUST1025,Fatma Mahmoud,64,F,fatma.mahmoud@yahoo.com,334.63,2025-06-18 00:00:00.000000,Electronics,3,6,2025
CUST1026,Sara Mahmoud,64,M,sara.mahmoud@hotmail.com,801.36,2024-03-17 04:28:05.570131,Unkwon,10,3,2024
CUST1027,Ahmed Hassan,64,M,ahmed.hassan@hotmail.com,478.39,2025-03-22 00:00:00.000000,Unkwon,2,3,2025
CUST1028,Lina Smith,64,M,lina.smith@gmail.com,303.65,2023-11-10 00:00:00.000000,Clothing,2,11,2023
CUST1029,John Mahmoud,67,F,john.mahmoud@hotmail.com,387.63,2024-02-28 00:00:00.000000,Books,4,2,2024
CUST1030,Ali Ali,62,F,ali.ali@gmail.com,509.4188823816496,2023-05-16 00:00:00.000000,Toys,2,5,2023
CUST1031,John Hassan,90,M,john.hassan@yahoo.com,598.93,2024-10-13 00:00:00.000000,Clothing,5,10,2024
